,f1-score,precision,recall,support
0,0.9986217266006765,0.9972472472472472,1.0,7970.0
1,0.4210526315789474,1.0,0.26666666666666666,30.0
macro avg,0.7098371790898119,0.9986236236236237,0.6333333333333333,8000.0
micro avg,0.99725,0.99725,0.99725,8000.0
weighted avg,0.996455842494345,0.9972575700700701,0.99725,8000.0
