,f1-score,precision,recall,support
0,0.9992466097438473,1.0,0.9984943538268507,7970.0
1,0.9992477432296891,0.9984966173891255,1.0,7970.0
macro avg,0.9992471764867682,0.9992483086945627,0.9992471769134254,15940.0
micro avg,0.9992471769134254,0.9992471769134254,0.9992471769134254,15940.0
weighted avg,0.9992471764867683,0.9992483086945628,0.9992471769134254,15940.0
